iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
2,3,10,100,350,9,1782827040625,touchpad,0
2,3,10,100,350,10,1782827041374,touchpad,0
2,3,10,150,250,1,1782827042163,touchpad,0
2,3,10,150,250,2,1782827042926,touchpad,0
2,3,10,150,250,3,1782827043508,touchpad,0
2,3,10,150,250,4,1782827044131,touchpad,0
2,3,10,150,250,5,1782827045330,touchpad,0
2,3,10,150,250,6,1782827045992,touchpad,0
2,3,10,150,250,7,1782827046631,touchpad,0
2,3,10,150,250,8,1782827047928,touchpad,0
2,3,10,150,250,9,1782827048608,touchpad,0
2,3,10,150,250,10,1782827049209,touchpad,0
2,3,10,50,450,1,1782827050530,touchpad,0
2,3,10,50,450,2,1782827051492,touchpad,0
2,3,10,50,450,3,1782827052475,touchpad,0
2,3,10,50,450,4,1782827053741,touchpad,0
2,3,10,50,450,5,1782827054631,touchpad,0
2,3,10,50,450,6,1782827055810,touchpad,0
2,3,10,50,450,7,1782827056792,touchpad,0
2,3,10,50,450,8,1782827057826,touchpad,0
2,3,10,50,450,9,1782827058924,touchpad,0
2,3,10,50,450,10,1782827060042,touchpad,0
2,3,10,150,450,1,1782827060744,touchpad,0
2,3,10,150,450,2,1782827061528,touchpad,0
2,3,10,150,450,3,1782827062225,touchpad,0
2,3,10,150,450,4,1782827063260,touchpad,0
2,3,10,150,450,5,1782827063911,touchpad,0
2,3,10,150,450,6,1782827064700,touchpad,0
2,3,10,150,450,7,1782827065544,touchpad,0
2,3,10,150,450,8,1782827066744,touchpad,0
2,3,10,150,450,9,1782827067424,touchpad,0
2,3,10,150,450,10,1782827068245,touchpad,0
2,3,10,50,350,1,1782827069193,touchpad,0
2,3,10,50,350,2,1782827070425,touchpad,0
2,3,10,50,350,3,1782827072011,touchpad,0
2,3,10,50,350,4,1782827072891,touchpad,0
2,3,10,50,350,5,1782827073974,touchpad,0
2,3,10,50,350,6,1782827074991,touchpad,0
2,3,10,50,350,7,1782827076191,touchpad,0
2,3,10,50,350,8,1782827077611,touchpad,0
2,3,10,50,350,9,1782827078668,touchpad,0
2,3,10,50,350,10,1782827079763,touchpad,0
2,3,10,50,250,1,1782827080728,touchpad,0
2,3,10,50,250,2,1782827081608,touchpad,0
2,3,10,50,250,3,1782827082512,touchpad,0
2,3,10,50,250,4,1782827083577,touchpad,0
2,3,10,50,250,5,1782827084843,touchpad,0
2,3,10,50,250,6,1782827085773,touchpad,0
2,3,10,50,250,7,1782827086741,touchpad,0
2,3,10,50,250,8,1782827087679,touchpad,0
2,3,10,50,250,9,1782827088424,touchpad,0
2,3,10,50,250,10,1782827089299,touchpad,0
3,3,10,100,250,1,1782827090195,touchpad,0
3,3,10,100,250,2,1782827090891,touchpad,0
3,3,10,100,250,3,1782827091595,touchpad,0
3,3,10,100,250,4,1782827092324,touchpad,0
3,3,10,100,250,5,1782827093013,touchpad,0
3,3,10,100,250,6,1782827093641,touchpad,0
3,3,10,100,250,7,1782827094262,touchpad,0
3,3,10,100,250,8,1782827094924,touchpad,0
3,3,10,100,250,9,1782827095629,touchpad,0
3,3,10,100,250,10,1782827096274,touchpad,0
3,3,10,150,250,1,1782827097278,touchpad,0
3,3,10,150,250,2,1782827097941,touchpad,0
3,3,10,150,250,3,1782827098595,touchpad,0
3,3,10,150,250,4,1782827099342,touchpad,0
3,3,10,150,250,5,1782827099978,touchpad,0
3,3,10,150,250,6,1782827100641,touchpad,0
3,3,10,150,250,7,1782827101242,touchpad,0
3,3,10,150,250,8,1782827101890,touchpad,0
3,3,10,150,250,9,1782827102541,touchpad,0
3,3,10,150,250,10,1782827103177,touchpad,0
3,3,10,150,350,1,1782827103891,touchpad,0
3,3,10,150,350,2,1782827104610,touchpad,0
3,3,10,150,350,3,1782827105391,touchpad,0
3,3,10,150,350,4,1782827106044,touchpad,0
3,3,10,150,350,5,1782827106741,touchpad,0
3,3,10,150,350,6,1782827107375,touchpad,0
3,3,10,150,350,7,1782827108275,touchpad,0
3,3,10,150,350,8,1782827108926,touchpad,0
3,3,10,150,350,9,1782827109575,touchpad,0
