iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input_method,latency
3,2,10,100,350,2,1782829863141,mouse,150
3,2,10,100,350,3,1782829863931,mouse,150
3,2,10,100,350,4,1782829865088,mouse,150
3,2,10,100,350,5,1782829865896,mouse,150
3,2,10,100,350,6,1782829866769,mouse,150
3,2,10,100,350,7,1782829867527,mouse,150
3,2,10,100,350,8,1782829868288,mouse,150
3,2,10,100,350,9,1782829869073,mouse,150
3,2,10,100,350,10,1782829869944,mouse,150
3,2,10,150,450,1,1782829871392,mouse,150
3,2,10,150,450,2,1782829872751,mouse,150
3,2,10,150,450,3,1782829873545,mouse,150
3,2,10,150,450,4,1782829874265,mouse,150
3,2,10,150,450,5,1782829875237,mouse,150
3,2,10,150,450,6,1782829875961,mouse,150
3,2,10,150,450,7,1782829876672,mouse,150
3,2,10,150,450,8,1782829877777,mouse,150
3,2,10,150,450,9,1782829878522,mouse,150
3,2,10,150,450,10,1782829879302,mouse,150
3,2,10,150,350,1,1782829880130,mouse,150
3,2,10,150,350,2,1782829880915,mouse,150
3,2,10,150,350,3,1782829881577,mouse,150
3,2,10,150,350,4,1782829882378,mouse,150
3,2,10,150,350,5,1782829883086,mouse,150
3,2,10,150,350,6,1782829883725,mouse,150
3,2,10,150,350,7,1782829884298,mouse,150
3,2,10,150,350,8,1782829884984,mouse,150
3,2,10,150,350,9,1782829885717,mouse,150
3,2,10,150,350,10,1782829886422,mouse,150
3,2,10,150,250,1,1782829887724,mouse,150
3,2,10,150,250,2,1782829888506,mouse,150
3,2,10,150,250,3,1782829889073,mouse,150
3,2,10,150,250,4,1782829889819,mouse,150
3,2,10,150,250,5,1782829890581,mouse,150
3,2,10,150,250,6,1782829891340,mouse,150
3,2,10,150,250,7,1782829892029,mouse,150
3,2,10,150,250,8,1782829892749,mouse,150
3,2,10,150,250,9,1782829893421,mouse,150
3,2,10,150,250,10,1782829894005,mouse,150
3,2,10,100,450,1,1782829895046,mouse,150
3,2,10,100,450,2,1782829896457,mouse,150
3,2,10,100,450,3,1782829897298,mouse,150
3,2,10,100,450,4,1782829898432,mouse,150
3,2,10,100,450,5,1782829899298,mouse,150
